Title,SellerSKU,ASIN,,In Stock Level,List Price,CPU,In Stock Value,Supplier,Date Purchased,Notes,,,,
"""Total Defense 5"" Right Guard Brand Deodorant for Men (1 Stick of Cool Peak Deodorant)",BL01122017/1.92,B00166GUYW,"B00166GUYW,",2,49.99,1.92,3.84,Big Lots,1/12/17,,,,,"('B00166GUYW', '""Total Defense 5"" Right Guard Brand Deodorant for Men (1 Stick of Cool Peak Deodorant)', 2, 49.99),"
(2 Pack) Nature Valley Breakfast Biscuits Lemon Poppy Seed 5- 1.770z Pouches,BL02082017/4.86,B00TWMIUJK,"B00TWMIUJK,",1,17.25,4.86,4.86,Big Lots,2/8/17,,"'B00TWMIUJK',",,,"('B00TWMIUJK', '(2 Pack) Nature Valley Breakfast Biscuits Lemon Poppy Seed 5- 1.770z Pouches', 1, 17.25),"
"(3 Pack) L'Oreal Paris Advanced Hairstyle Txt It Toussle Wave Spray, 6.8 Fl Oz.",BL03032017/4.62,B010OPU26C,"B010OPU26C,",1,17.95,4.62,4.62,Big Lots,3/3/17,,"'B010OPU26C',",,,"('B010OPU26C', '(3 Pack) L'Oreal Paris Advanced Hairstyle Txt It Toussle Wave Spray, 6.8 Fl Oz.', 1, 17.95),"
"(Pack 3) CoverGirl 250 Lipslicks Smoochies Lip Balm, 2 Cute, 0.14 Ounce",BL03032017//2.32,B00XUPKM2S,"B00XUPKM2S,",2,34.99,2.32,4.64,Big Lots,3/3/17,,"'B00XUPKM2S',",,,"('B00XUPKM2S', '(Pack 3) CoverGirl 250 Lipslicks Smoochies Lip Balm, 2 Cute, 0.14 Ounce', 2, 34.99),"
2 Crest Pro Health For Life Toothpaste Smooth Mint 6oz Tubes Designed Adult 50+,BLl02272017/3.85,B01LDYLZ50,"B01LDYLZ50,",1,22.96,3.85,3.85,Big Lots,2/27/17,,"'B01LDYLZ50',",,,"('B01LDYLZ50', '2 Crest Pro Health For Life Toothpaste Smooth Mint 6oz Tubes Designed Adult 50+', 1, 22.96),"
2 Pack- Revlon Colorburst Lip Butter Lipstick #080 Strawberry Shortcake,BL02272017//3.23,B01I8CD9V8,"B01I8CD9V8,",4,14.95,3.23,12.92,Big Lots,2/27/17,,"'B01I8CD9V8',",,,"('B01I8CD9V8', '2 Pack- Revlon Colorburst Lip Butter Lipstick #080 Strawberry Shortcake', 4, 14.95),"
"Absorbine Jr. Cream, 2 Ounce (Pack of 4)",NPS01132017/10.21,B00TOCKZ5A,"B00TOCKZ5A,",2,29.99,10.21,20.42,NPS,1/13/17,,"'B00TOCKZ5A',",,,"('B00TOCKZ5A', 'Absorbine Jr. Cream, 2 Ounce (Pack of 4)', 2, 29.99),"
Accounting For Managers: Interpreting Accounting Information for Decision-Making,FBA07132016/6.65,1119979676,"1119979676,",1,23,6.65,6.65,Amazon,7/13/16,,"'1119979676',",,,"('1119979676', 'Accounting For Managers: Interpreting Accounting Information for Decision-Making', 1, 23),"
"Aerosoles Women's Air Cushion Fashion Sneaker,Black Fabric,7 W US",FBA05232016__69,B00XD2WWD0,"B00XD2WWD0,",1,51.7,16.54,16.54,Amazon,5/19/16,,"'B00XD2WWD0',",,,"('B00XD2WWD0', 'Aerosoles Women's Air Cushion Fashion Sneaker,Black Fabric,7 W US', 1, 51.7),"
"AK Anne Klein Sport Women's Camrynne Wedge, Pink Multi/Black, 6 M US",FBA07032106/17.25,B016EO2COM,"B016EO2COM,",1,32.69,17.25,17.25,Amazon,7/3/16,,"'B016EO2COM',",,,"('B016EO2COM', 'AK Anne Klein Sport Women's Camrynne Wedge, Pink Multi/Black, 6 M US', 1, 32.69),"
